Ref_Date,Value
1992/01,20532164
1992/02,21629502
1992/03,23899635
1992/04,23391246
1992/05,24074180
1992/06,25307741
1992/07,21189663
1992/08,23273109
1992/09,24707614
1992/10,25354038
1992/11,24223502
1992/12,22935758
1993/01,21715563
1993/02,23094193
1993/03,27118241
1993/04,25490122
1993/05,25841563
1993/06,26983201
1993/07,22203738
1993/08,25616413
1993/09,27483145
1993/10,27170665
1993/11,26910018
1993/12,24316121
1994/01,23455550
1994/02,24421659
1994/03,29350286
1994/04,28059861
1994/05,30108068
1994/06,30991797
1994/07,25654722
1994/08,30556084
1994/09,31160407
1994/10,31350166
1994/11,32342411
1994/12,29489821
1995/01,30446447
1995/02,30498776
1995/03,34649844
1995/04,31734888
1995/05,34816546
1995/06,34363629
1995/07,28211238
1995/08,33713813
1995/09,33951851
1995/10,33991868
1995/11,33378407
1995/12,30022144
1996/01,30691885
1996/02,31254370
1996/03,32813045
1996/04,33129076
1996/05,35583227
1996/06,34379885
1996/07,31126191
1996/08,34000675
1996/09,35264556
1996/10,35346450
1996/11,34839606
1996/12,31656084
1997/01,32522694
1997/02,32564664
1997/03,35170267
1997/04,36237221
1997/05,37143106
1997/06,36626246
1997/07,33645290
1997/08,35325774
1997/09,37660036
1997/10,38541370
1997/11,36261988
1997/12,34820764
1998/01,32633990
1998/02,34470942
1998/03,38907606
1998/04,37228320
1998/05,37758323
1998/06,37254911
1998/07,31707088
1998/08,36326682
1998/09,38872870
1998/10,40016983
1998/11,39030357
1998/12,36944533
