Product,Location,Customer,Date,Sales
prod1,United Kingdom,GRAND CORPORATION,2015/01,267.05
prod1,United Kingdom,GRAND CORPORATION,2015/02,266.2833333
prod1,United Kingdom,GRAND CORPORATION,2015/03,297.75
prod1,United Kingdom,GRAND CORPORATION,2015/04,339.7666667
prod1,United Kingdom,GRAND CORPORATION,2015/05,405.4333333
prod1,United Kingdom,GRAND CORPORATION,2015/06,388.25
prod1,United Kingdom,GRAND CORPORATION,2015/07,354.9833333
prod1,United Kingdom,GRAND CORPORATION,2015/08,342.65
prod1,United Kingdom,GRAND CORPORATION,2015/09,360.1833333
prod1,United Kingdom,GRAND CORPORATION,2015/10,387.0833333
prod1,United Kingdom,GRAND CORPORATION,2015/11,436.7666667
prod1,United Kingdom,GRAND CORPORATION,2015/12,496.7333333
prod1,United Kingdom,GRAND CORPORATION,2016/01,525.3
prod1,United Kingdom,GRAND CORPORATION,2016/02,502.3833333
prod1,United Kingdom,GRAND CORPORATION,2016/03,497.65
prod1,United Kingdom,GRAND CORPORATION,2016/04,500.3333333
prod1,United Kingdom,GRAND CORPORATION,2016/05,482.6
prod1,United Kingdom,GRAND CORPORATION,2016/06,502.3
prod1,United Kingdom,GRAND CORPORATION,2016/07,546.1333333
prod1,United Kingdom,GRAND CORPORATION,2016/08,554.1166667
prod1,United Kingdom,GRAND CORPORATION,2016/09,465.0666667
prod1,United Kingdom,GRAND CORPORATION,2016/10,352.9833333
prod1,United Kingdom,GRAND CORPORATION,2016/11,322.6
prod1,United Kingdom,GRAND CORPORATION,2016/12,275.0666667
prod1,United Kingdom,GRAND CORPORATION,2017/01,267.0833333
prod1,United Kingdom,GRAND CORPORATION,2017/02,251.1166667
prod1,United Kingdom,GRAND CORPORATION,2017/03,283.6833333
prod1,United Kingdom,GRAND CORPORATION,2017/04,340.2666667
prod1,United Kingdom,GRAND CORPORATION,2017/05,417.1166667
prod1,United Kingdom,GRAND CORPORATION,2017/06,393.4333333
prod1,United Kingdom,GRAND CORPORATION,2017/07,364.0833333
prod1,United Kingdom,GRAND CORPORATION,2017/08,341.5833333
prod1,United Kingdom,GRAND CORPORATION,2017/09,340.8
prod1,United Kingdom,GRAND CORPORATION,2017/10,386.1333333
prod1,United Kingdom,GRAND CORPORATION,2017/11,435.1333333
prod1,United Kingdom,GRAND CORPORATION,2017/12,481.0833333
prod1,United Kingdom,Alpha LLC,2015/01,496.5666667
prod1,United Kingdom,Alpha LLC,2015/02,497.1666667
prod1,United Kingdom,Alpha LLC,2015/03,493.4666667
prod1,United Kingdom,Alpha LLC,2015/04,496.0333333
prod1,United Kingdom,Alpha LLC,2015/05,499.4333333
prod1,United Kingdom,Alpha LLC,2015/06,501.9
prod1,United Kingdom,Alpha LLC,2015/07,498.1333333
prod1,United Kingdom,Alpha LLC,2015/08,501.7333333
prod1,United Kingdom,Alpha LLC,2015/09,430.4333333
prod1,United Kingdom,Alpha LLC,2015/10,346.05
prod1,United Kingdom,Alpha LLC,2015/11,307.25
prod1,United Kingdom,Alpha LLC,2015/12,275.8833333
prod1,United Kingdom,Alpha LLC,2016/01,254.3833333
prod1,United Kingdom,Alpha LLC,2016/02,250.4333333
prod1,United Kingdom,Alpha LLC,2016/03,275.4666667
prod1,United Kingdom,Alpha LLC,2016/04,295.9833333
prod1,United Kingdom,Alpha LLC,2016/05,394.7666667
prod1,United Kingdom,Alpha LLC,2016/06,383.9666667
prod1,United Kingdom,Alpha LLC,2016/07,369.8
prod1,United Kingdom,Alpha LLC,2016/08,329.5333333
prod1,United Kingdom,Alpha LLC,2016/09,347.2833333
prod1,United Kingdom,Alpha LLC,2016/10,362.2166667
prod1,United Kingdom,Alpha LLC,2016/11,422.1333333
prod1,United Kingdom,Alpha LLC,2016/12,468.1166667
prod1,United Kingdom,Alpha LLC,2017/01,508.2333333
prod1,United Kingdom,Alpha LLC,2017/02,487.5833333
prod1,United Kingdom,Alpha LLC,2017/03,493.4
prod1,United Kingdom,Alpha LLC,2017/04,492.45
prod1,United Kingdom,Alpha LLC,2017/05,485.8333333
prod1,United Kingdom,Alpha LLC,2017/06,497.6166667
prod1,United Kingdom,Alpha LLC,2017/07,532.4166667
prod1,United Kingdom,Alpha LLC,2017/08,536.95
prod1,United Kingdom,Alpha LLC,2017/09,451.7333333
prod1,United Kingdom,Alpha LLC,2017/10,376.4833333
prod1,United Kingdom,Alpha LLC,2017/11,334
prod1,United Kingdom,Alpha LLC,2017/12,292.05
prod1,Germany,Riverson Ltd,2015/01,292.7833333
prod1,Germany,Riverson Ltd,2015/02,296.15
prod1,Germany,Riverson Ltd,2015/03,307.8333333
prod1,Germany,Riverson Ltd,2015/04,348.2166667
prod1,Germany,Riverson Ltd,2015/05,386.4666667
prod1,Germany,Riverson Ltd,2015/06,429.8333333
prod1,Germany,Riverson Ltd,2015/07,471.2833333
prod1,Germany,Riverson Ltd,2015/08,481.4666667
prod1,Germany,Riverson Ltd,2015/09,477.5
prod1,Germany,Riverson Ltd,2015/10,443.9666667
prod1,Germany,Riverson Ltd,2015/11,437.4666667
prod1,Germany,Riverson Ltd,2015/12,474.9333333
prod1,Germany,Riverson Ltd,2016/01,524.5833333
prod1,Germany,Riverson Ltd,2016/02,508.3333333
prod1,Germany,Riverson Ltd,2016/03,512.45
prod1,Germany,Riverson Ltd,2016/04,503.9833333
prod1,Germany,Riverson Ltd,2016/05,502.15
prod1,Germany,Riverson Ltd,2016/06,491.45
prod1,Germany,Riverson Ltd,2016/07,508.4166667
prod1,Germany,Riverson Ltd,2016/08,489.5833333
prod1,Germany,Riverson Ltd,2016/09,417.4833333
prod1,Germany,Riverson Ltd,2016/10,393.0833333
prod1,Germany,Riverson Ltd,2016/11,322.3333333
prod1,Germany,Riverson Ltd,2016/12,312.0333333
prod1,Germany,Riverson Ltd,2017/01,296.8666667
prod1,Germany,Riverson Ltd,2017/02,297.8166667
prod1,Germany,Riverson Ltd,2017/03,301.9166667
prod1,Germany,Riverson Ltd,2017/04,327.6333333
prod1,Germany,Riverson Ltd,2017/05,375.2333333
prod1,Germany,Riverson Ltd,2017/06,431.5666667
prod1,Germany,Riverson Ltd,2017/07,471.35
prod1,Germany,Riverson Ltd,2017/08,508.5333333
prod1,Germany,Riverson Ltd,2017/09,508.6
prod1,Germany,Riverson Ltd,2017/10,470.5666667
prod1,Germany,Riverson Ltd,2017/11,491.8333333
prod1,Germany,Riverson Ltd,2017/12,537.0333333
prod1,France,OMEGA LIMITED,2015/01,554.45
prod1,France,OMEGA LIMITED,2015/02,555.9333333
prod1,France,OMEGA LIMITED,2015/03,543.8
prod1,France,OMEGA LIMITED,2015/04,524.35
prod1,France,OMEGA LIMITED,2015/05,530.1833333
prod1,France,OMEGA LIMITED,2015/06,533.4
prod1,France,OMEGA LIMITED,2015/07,561.15
prod1,France,OMEGA LIMITED,2015/08,566.3333333
prod1,France,OMEGA LIMITED,2015/09,475.7
prod1,France,OMEGA LIMITED,2015/10,376.5166667
prod1,France,OMEGA LIMITED,2015/11,324.4833333
prod1,France,OMEGA LIMITED,2015/12,272.25
prod1,France,OMEGA LIMITED,2016/01,265.0333333
prod1,France,OMEGA LIMITED,2016/02,261.1666667
prod1,France,OMEGA LIMITED,2016/03,293.4833333
prod1,France,OMEGA LIMITED,2016/04,332.6333333
prod1,France,OMEGA LIMITED,2016/05,412.6
prod1,France,OMEGA LIMITED,2016/06,371.0833333
prod1,France,OMEGA LIMITED,2016/07,331.4666667
prod1,France,OMEGA LIMITED,2016/08,325.5166667
prod1,France,OMEGA LIMITED,2016/09,325.5166667
prod1,France,OMEGA LIMITED,2016/10,341.8833333
prod1,France,OMEGA LIMITED,2016/11,399.7666667
prod1,France,OMEGA LIMITED,2016/12,452.5166667
prod1,France,OMEGA LIMITED,2017/01,467.0666667
prod1,France,OMEGA LIMITED,2017/02,472.4333333
prod1,France,OMEGA LIMITED,2017/03,474.0666667
prod1,France,OMEGA LIMITED,2017/04,484.5333333
prod1,France,OMEGA LIMITED,2017/05,484.45
prod1,France,OMEGA LIMITED,2017/06,501.3666667
prod1,France,OMEGA LIMITED,2017/07,538.4
prod1,France,OMEGA LIMITED,2017/08,511.3833333
prod1,France,OMEGA LIMITED,2017/09,449.0666667
prod1,France,OMEGA LIMITED,2017/10,356.8833333
prod1,France,OMEGA LIMITED,2017/11,316.8166667
prod1,France,OMEGA LIMITED,2017/12,265.05
